INSTNM,CITY,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,FEMALE,FIRST_GEN,FAMINC,MD_FAMINC
Woodbury University,Burbank,0.626,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.3363,0.0,0.0224,0.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0224,0.0,0.0,0.0,0.0,0.0,0.0224,0.0,0.0,0.0,0.0,0.0,0.0314,0.0538,0.0,0.0135,0.0,0.0,0.0,0.0,0.3408,0.0,0.1435,0.0,0.3652,0.0426,0.3341,0.1256,0.0081,0.0046,0.0311,0.0588,0.03,,,,,30252.0,,,,,,,,27545.0,28099.0,26454.0,35185.0,36379.0,,,,,,,,,,,,27739.0,,,,27368.0,,35740.0,,,,,55779.0,,44908.0,44908.0,,0.5687830688,0.4097859327,50310.113757,32542.5
The Wright Institute,Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Jefferson School of Law,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,0.6148,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9718,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0,,,,,11802.0,,,,,,,,10600.0,11014.0,12686.0,12850.0,,,,,,,,,,,,,10807.0,,,,12036.0,,12850.0,,,,,27600.0,,15700.0,15700.0,,PS,PS,42193.21519,40088
Yuba College,Marysville,,,,,,,,,,,,,,,,,,,,,,,,,0.0097,0.0,0.0,0.0,0.0067,0.0004,0.0147,0.0063,0.0004,0.0,0.0017,0.0,0.1647,0.0008,0.0088,0.1971,0.0,0.0539,0.0051,0.0,0.1142,0.0017,0.0,0.0,0.0072,0.0,0.0392,0.0914,0.0,0.1213,0.0,0.0122,0.0114,0.0,0.008,0.0564,0.0564,0.0101,0.2973,0.0352,0.409,0.1497,0.0069,0.0045,0.0615,0.0,0.0359,,,,4027.0,,,,3972.0,4942.0,5724.0,,,,,,,,,,,,,,,,,,3996.0,,,,5277.0,,,,,,,,11185.0,,1128.0,7488.0,,0.5781710914,0.5844277674,21932.81969,18503.5
Adams State University,Alamosa,0.9918,460.0,560.0,450.0,570.0,,,515.0,515.0,,15.0,26.0,14.0,25.0,16.0,26.0,,,21.0,20.0,19.0,,1066.0,1066.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0,0.0153,0.0,0.0,0.0,0.0,0.0,0.0153,0.4924,0.0,0.0286,0.0153,0.0,0.0,0.0553,0.0,0.0,0.0115,0.0,0.0191,0.0,0.0,0.0611,0.0,0.0,0.0,0.0,0.0248,0.0267,0.229,0.0,0.3718,0.0903,0.3749,0.0122,0.0153,0.0069,0.0444,0.013,0.0712,,,,12836.0,,,,10833.0,10184.0,12214.0,17988.0,20686.0,,,,,,,,,,,,,,,,10600.0,,,,10970.0,,19135.0,,,,,,22772.0,,9776.0,21848.0,,0.4890829694,0.4151309408,48770.020087,31933
Aims Community College,Greeley,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,0.0,0.0,0.0188,0.0163,0.0251,0.0,0.0013,0.0,0.0169,0.0,0.0382,0.0,0.0,0.2897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0433,0.0,0.0,0.015,0.0991,0.1053,0.0176,0.0,0.2646,0.0389,0.0,0.4669,0.0261,0.4278,0.0133,0.0038,0.0012,0.0305,0.0131,0.0174,,,,10017.0,,,,9197.0,9933.0,11099.0,12476.0,14486.0,,,,,,,,,,,,,,,,9441.0,,,,10540.0,,12677.0,,,,,,14486.0,,1946.0,10850.0,,0.5925394548,0.5454545455,37663.34242,28173
Arapahoe Community College,Littleton,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.006,0.1229,0.0419,0.0,0.0,0.01,0.0,0.0279,0.0233,0.0,0.2631,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0007,0.0,0.0505,0.0,0.0,0.008,0.0359,0.0,0.0,0.0412,0.301,0.0651,0.0,0.613,0.0413,0.1827,0.043,0.0058,0.0026,0.043,0.0179,0.0507,,,,11592.0,,,,7641.0,9291.0,11406.0,15816.0,16667.0,,,,,,,,,,,,,,,,8238.0,,,,10348.0,,16326.0,,,,,,16667.0,,4080.0,15502.0,,0.6350725533,0.3844566713,42699.635999,29736
Bel-Rea Institute of Animal Technology,Denver,0.4955,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5366,0.0293,0.2829,0.0146,0.0195,0.0,0.0732,0.0,0.0439,,,,,24032.0,,,,,,,,22661.0,22760.0,26036.0,26104.0,28719.0,,,,,,,,,,,,22685.0,,,,24272.0,,27411.0,,,,,28888.0,,13819.0,13819.0,,0.8788819876,0.3586206897,45741.136646,30229.5
University of Colorado Denver/Anschutz Medical Campus,Denver,0.7458,520.0,640.0,510.0,620.0,,,575.0,565.0,,21.0,27.0,20.0,26.0,18.0,25.0,,,25.0,24.0,22.0,,1150.0,1150.0,0.0,0.0,0.0367,0.0011,0.0528,0.0,0.0367,0.0,0.021,0.073,0.0004,0.0019,0.0112,0.0,0.0277,0.0,0.0,0.1213,0.0139,0.0,0.0116,0.0,0.003,0.0,0.0086,0.0,0.0903,0.0326,0.0041,0.1026,0.0,0.0,0.0,0.0,0.0828,0.091,0.1659,0.0097,0.4102,0.062,0.2629,0.1046,0.0038,0.0014,0.0554,0.0899,0.0099,,,,13782.0,,,,8996.0,9422.0,14095.0,19592.0,22389.0,,,,,,,,,,,,,,,,9159.0,,,,11913.0,,21153.0,,,,,,23895.0,,9562.0,26818.0,,0.5792682927,0.3794204883,52017.048374,33313
